Tipo fila;Hito;Elemento;Codigo;Descripcion de la prueba;Estado;Fecha fin;Fecha negocio;Observaciones
CABECERA;SPRINT 1;BE-08;Integracion SMS con enlace de descarga temporal token caducidad;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-08;Babooni;Integracion SMS con enlace de descarga temporal (token caducidad — CA-08);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-08;Negocio;CA-08 - Dado que el usuario selecciona SMS y existe movil cuando pulsa Enviar justificante entonces se genera el justificante y se envia enlace de descarga.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;BE-10;Validaciones de negocio y seguridad enlaces SMS temporales;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-10;Babooni;Validaciones de negocio y seguridad (enlaces SMS temporales CA-12);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-10;Negocio;CA-06 - Dado que la hora de fin es anterior a la hora de entrada cuando el usuario intenta enviar/generar entonces MINERVA bloquea la accion.;Tecnologia - En desarrollo;;;
CABECERA;SPRINT 1;BE-17;Adaptador Historial Medico delegacion eanaliticas a planificacion-backend;Tecnologia - En desarrollo;;;
DESARROLLO;SPRINT 1;BE-17;Babooni;Adaptador Historial Medico (eanaliticas): delegacion a planificacion-backend auth W2W regresion HM eliminar ODT/JOOReports (CA-11);Tecnologia - En desarrollo;;;
VALIDACION;SPRINT 1;BE-17;Negocio;CA-11 - Dado que se genera un justificante desde Historial medico cuando se abre el PDF entonces se muestra con el nuevo formato definitivo.;Tecnologia - En desarrollo;;;
HITO;CIERRE Sem 3;Validaciones UX calidad despliegue PRO;;;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-07;Validaciones UX alineadas con RF 7.3 HH:MM hora fin >= entrada mensajes bloqueantes;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-07;Babooni;Validaciones UX alineadas con RF 7.3 (HH:MM hora fin >= entrada mensajes bloqueantes);Tecnologia - Pendiente;;;
VALIDACION;CIERRE;FE-07;Negocio;CA-06 - Dado que la hora de fin es anterior a la hora de entrada cuando el usuario intenta enviar/generar entonces MINERVA bloquea la accion.;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-08;i18n de mensajes accesibilidad y pulido UI del bloque;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-08;Babooni;i18n de mensajes accesibilidad y pulido UI del bloque;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-09;Tests unitarios Karma + Jasmine bloque justificante validaciones flujos;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-09;Babooni;Tests unitarios con Karma + Jasmine (bloque justificante validaciones flujos);Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-10;Soporte plan de pruebas CA-01..CA-13 frontend y correccion de defectos;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-10;Babooni;Soporte plan de pruebas (CA-01..CA-13 frontend) y correccion de defectos;Tecnologia - Pendiente;;;
VALIDACION;CIERRE;FE-10;Negocio;CA-13 - Dado que se genera o envia el justificante cuando se consulta el log del reconocimiento o Acercate Empresas entonces no aparece el justificante (fuera de alcance v.2).;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-11;Creacion de MR + despliegue a entorno DEMO y verificacion;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-11;Babooni;Creacion de MR + despliegue a entorno DEMO y verificacion;Tecnologia - Pendiente;;;
CABECERA;CIERRE;FE-12;Plan de accion a Produccion + implementacion (parte FE);Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;FE-12;Babooni;Plan de accion a Produccion + implementacion (parte FE: pasos ventana rollback MR a master despliegue PRO);Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-11;Pruebas unitarias e integracion PDF comunicaciones validaciones horas;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-11;Babooni;Pruebas unitarias e integracion (PDF comunicaciones validaciones horas);Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-12;Soporte plan de pruebas CA-01..CA-13 backend y correccion de defectos;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-12;Babooni;Soporte plan de pruebas (CA-01..CA-13 backend) y correccion de defectos;Tecnologia - Pendiente;;;
VALIDACION;CIERRE;BE-12;Negocio;CA-13 - Dado que se genera o envia el justificante cuando se consulta el log del reconocimiento o Acercate Empresas entonces no aparece el justificante (fuera de alcance v.2).;Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-13;Configuracion y reporte cobertura Jacoco + mutation testing Pitest;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-13;Babooni;Configuracion y reporte de cobertura con Jacoco + mutation testing con Pitest;Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-14;Documentacion tecnica y handover servicios contratos configuracion;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-14;Babooni;Documentacion tecnica y handover (servicios contratos configuracion);Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-15;Creacion de MR + despliegue a entorno DEMO y verificacion;Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-15;Babooni;Creacion de MR + despliegue a entorno DEMO y verificacion;Tecnologia - Pendiente;;;
CABECERA;CIERRE;BE-16;Plan de accion a Produccion + implementacion (parte BE);Tecnologia - Pendiente;;;
DESARROLLO;CIERRE;BE-16;Babooni;Plan de accion a Produccion + implementacion (parte BE: pasos ventana rollback MR a master despliegue PRO);Tecnologia - Pendiente;;;
