Tipo fila;Hito;Elemento;Codigo;Descripcion de la prueba;Estado;Fecha fin;Fecha negocio;Observaciones
VALIDACION;SPRINT 1;BE-3.1;Negocio;CA-17 - Dado Configuracion Admin cuando se accede entonces existe pestana Accesos externos con buscador y boton Anadir acceso.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-3.1;Negocio;CA-18 - Dado Anadir acceso cuando se abre la modal entonces tipo Inspector/RLPT nombre y email obligatorio con validacion; Guardar alta el registro.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-3.1;Negocio;CA-19 - Dado un acceso en la lista cuando se pulsa Eliminar entonces aparece modal de confirmacion con texto de revocacion irreversible.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;BE-3.2;Creado por fecha alta e invitacion acceso externo;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;BE-3.2;Babooni;Registro creado por y fecha alta y disparo invitacion/credencial al externo;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-3.2;Negocio;CA-18 - Dado Anadir acceso cuando se abre la modal entonces tipo Inspector/RLPT nombre y email obligatorio con validacion; Guardar alta el registro.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;FE-3.1;Pestana Accesos externos en Configuracion Administrador;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;FE-3.1;Babooni;Nueva pestana Accesos externos al final de Configuracion con buscador y boton Anadir acceso;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;FE-3.1;Negocio;CA-17 - Dado Configuracion Admin cuando se accede entonces existe pestana Accesos externos con buscador y boton Anadir acceso.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;FE-3.2;Modal Anadir acceso externo tipo nombre y correo;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;FE-3.2;Babooni;Modal Anadir acceso externo: tipo Inspector/RLPT nombre correo y validaciones;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;FE-3.2;Negocio;CA-18 - Dado Anadir acceso cuando se abre la modal entonces tipo Inspector/RLPT nombre y email obligatorio con validacion; Guardar alta el registro.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;FE-3.3;Tabla externos y modal confirmacion eliminacion;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;FE-3.3;Babooni;Tabla de externos nombre tipo correo creado por alta y modal confirmacion eliminacion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;FE-3.3;Negocio;CA-19 - Dado un acceso en la lista cuando se pulsa Eliminar entonces aparece modal de confirmacion con texto de revocacion irreversible.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;FE-0.3;Internacionalizacion textos nuevos Fase II 5 idiomas;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;FE-0.3;Babooni;i18n nuevos textos Fase II en ES EN GL EU CA; huecos vs prototipo Vitaly TR-2;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;FE-0.3;Negocio;CA-01 - Textos del modulo Informes disponibles en los 5 idiomas (ES EN GL EU CA).;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;FE-0.3;Negocio;CA-10 - Textos del badge Inspector/a solo lectura disponibles en los 5 idiomas.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;TR-2;i18n y UX gaps vs prototipo Vitaly;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;TR-2;Babooni;Cierre huecos i18n y UX no cubiertos por prototipo Vitaly;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;TR-2;Negocio;CA-01 - Huecos i18n/UX de Informes cerrados: titulo subtitulo y controles alineados con funcional y prototipo Vitaly.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 1;BE-2.1;Listado empresas accesibles por Inspector/a;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 1;BE-2.1;Babooni;Endpoint listado empresas accesibles por Inspector con filtros CIF nombre y fechas alta;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-2.1;Negocio;CA-11 - Dado Inspector sin empresa entonces solo modulo Empresas visible.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 1;BE-2.1;Negocio;CA-12 - Dado Acceder en empresa entonces desbloquea Usuarios Informes y Configuracion solo lectura.;Tecnologia - Pendiente;;;
HITO;SPRINT 2;Suplantacion Inspector Informes avanzado solo desarrollo;;;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-0.6;Suplantacion usuario Keycloak impersonate y auditoria;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-0.6;Babooni;Suplantacion superadmin via Keycloak: inicio/fin sesion suplantada contexto propagado y auditoria obligatoria;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-0.6;Negocio;CA-21 - Dado Superadmin en tabla Usuarios simulada cuando pulsa Suplantar usuario entonces la sesion adopta rol permisos y vista del trabajador seleccionado.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-0.6;Negocio;CA-24 - Dado suplantacion activa cuando Superadmin finaliza suplantacion entonces vuelve al contexto Superadmin y queda registro de auditoria.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-0.4;UI suplantacion banner persistente y salida;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-0.4;Babooni;UI suplantacion: accion iniciar banner Estas suplantando a... y boton salir/volver a sesion propia;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-0.4;Negocio;CA-21 - Dado Superadmin en tabla Usuarios simulada cuando pulsa Suplantar usuario entonces la sesion adopta rol permisos y vista del trabajador seleccionado.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-0.4;Negocio;CA-24 - Dado suplantacion activa cuando Superadmin finaliza suplantacion entonces vuelve al contexto Superadmin y queda registro de auditoria.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-2.2;Usuarios anonimizados empresa seleccionada;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-2.2;Babooni;Endpoint usuarios anonimizados de empresa seleccionada sin nombre ni apellidos en respuesta;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-2.2;Negocio;CA-13 - Dado Usuarios Inspector cuando se listan trabajadores entonces sin nombre ni apellidos; ID Persona visible.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-2.3;KPIs Inspector Sin registro Correcto Incompleto;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-2.3;Babooni;KPIs Inspector: Personas trabajadoras Registro correcto Sin registro Incompleto segun reglas D09;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-2.3;Negocio;CA-25 - Dado KPIs en Usuarios Inspector cuando se aplican reglas D09 entonces estados Sin registro Correcto Incompleto coinciden con dataset UAT.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-2.1;Estructura transversal Inspector sidebar y distintivo solo lectura;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-2.1;Babooni;Estructura transversal Inspector: sidebar/nav y distintivo solo lectura datos anonimizados;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-2.1;Negocio;CA-10 - Dado Inspector autenticado entonces badge amarillo Inspector/a solo lectura Datos anonimizados en sidebar.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-2.2;Maquina estados Caso A sin empresa y Caso B con empresa;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-2.2;Babooni;Maquina estados: sin empresa solo Empresas; con empresa Usuarios Informes y Configuracion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-2.2;Negocio;CA-11 - Dado Inspector sin empresa entonces solo modulo Empresas y cabecera Sin empresa seleccionada.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-2.3;Modulo Empresas Inspector filtros y Acceder;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-2.3;Babooni;Modulo Empresas Inspector: extiende listado multi-empresa Fase I con filtros y boton Acceder;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-2.3;Negocio;CA-12 - Dado tabla Empresas Inspector cuando pulsa Acceder entonces cabecera con nombre empresa y modulos desbloqueados.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-2.4;Ficha usuario lectura y anonimizada;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-2.4;Babooni;Ficha usuario datos personales compensaciones planificacion en lectura/anonimizada;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-2.4;Negocio;CA-14 - Dado ficha via Ojo cuando se abre entonces lectura nombre/apellidos difuminados y aviso legal.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-2.4;Negocio;CA-15 - Dado compensaciones/calendario en ficha Inspector entonces solo lectura y Limpiar configuracion deshabilitado.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-1.1;Endpoint listado registros agregados filtros orden y paginacion;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-1.1;Babooni;Endpoint listado agregado por persona con filtros periodo texto puesto centro orden y paginacion 10/pag;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.1;Negocio;CA-01 - Dado un usuario con acceso a Informes cuando entra al modulo entonces se muestra periodo Semana actual tabla ordenada por ID ascendente titulo Informes y boton Descargar informe.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.1;Negocio;CA-03 - Dado el modulo Informes cuando se usan filtros entonces Admin/RLPT buscan por nombre; Inspector por ID; puesto y centro multiseleccion; boton Limpiar filtros.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.1;Negocio;CA-04 - Dado un cambio en periodo o filtros cuando se aplica entonces la tabla se actualiza vuelve a pagina 1 y limita a 10 registros por pagina.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-1.1;Pantalla Informes cabecera subtitulo y boton Descargar informe;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-1.1;Babooni;Pantalla Informes: cabecera subtitulo y boton Descargar informe port desde prototipo Vitaly;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-1.1;Negocio;CA-01 - Dado un usuario con acceso a Informes cuando entra al modulo entonces se muestra periodo Semana actual tabla ordenada por ID titulo Informes y boton Descargar informe.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-1.2;Selector periodo Hoy Semana Mes Personalizado;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-1.2;Babooni;Selector periodo reutiliza ModalPeriodoComponent Fase I con validacion Desde menor o igual Hasta;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-1.2;Negocio;CA-02 - Dado el selector de periodo cuando el usuario elige Hoy Semana actual Mes actual o Personalizado entonces el filtro se aplica; en Personalizado modal exige Desde/Hasta.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-1.2;Calculo horas totales del periodo por persona;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-1.2;Babooni;Calculo horas totales del periodo por persona en formato HH:MM;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.2;Negocio;CA-05 - Dado la tabla de Informes cuando se muestran resultados entonces columnas ID Usuario Centro Puesto Horas totales y Compensaciones son ordenables.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-1.3;Balance compensaciones del periodo motor Fase I;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-1.3;Babooni;Calculo balance compensaciones del periodo reutilizando CompensacionService Fase I;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.3;Negocio;CA-05 - Dado la tabla de Informes cuando se muestran resultados entonces Compensaciones usa verde (+) rojo (-) y gris (0).;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-1.4;Generacion CSV informe tabla formato A;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-1.4;Babooni;Generacion CSV informe tabla extracto de pantalla; Inspector sin columna nombre;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.4;Negocio;CA-07 - Dado el boton Descargar informe cuando se pulsa entonces modal con tres opciones: Informe tabla Informe simple Informe detallado.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.4;Negocio;CA-09 - Dado filtros y formato validos cuando se confirma exportacion entonces se descarga CSV con nombre dinamico tipo de informe + fecha.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-1.5;Generacion CSV informe simple una fila por usuario y dia;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-1.5;Babooni;Generacion CSV informe simple: una fila por usuario y dia con horas totales;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.5;Negocio;CA-07 - Dado el boton Descargar informe cuando se pulsa entonces modal con tres opciones: Informe tabla Informe simple Informe detallado.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.5;Negocio;CA-09 - Dado filtros y formato validos cuando se confirma exportacion entonces se descarga CSV con nombre dinamico.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-1.6;Generacion CSV informe detallado una fila por tramo;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-1.6;Babooni;Generacion CSV informe detallado: una fila por tramo tipo inicio fin duracion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.6;Negocio;CA-07 - Dado el boton Descargar informe cuando se pulsa entonces modal con tres opciones: Informe tabla Informe simple Informe detallado.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.6;Negocio;CA-09 - Dado filtros y formato validos cuando se confirma exportacion entonces se descarga CSV con nombre dinamico.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;BE-1.7;Regla no-generacion sin datos respuesta toast;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;BE-1.7;Babooni;Regla no-generacion: si no hay datos no se crea archivo CSV respuesta para toast en frontend;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;BE-1.7;Negocio;CA-08 - Dado 0 registros en pantalla cuando el usuario pulsa Exportar en la modal entonces no se genera CSV y se muestra toast de alerta.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-1.3;Zona filtros buscar puesto y centro multiseleccion;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-1.3;Babooni;Zona filtros: buscar puesto y centro multiseleccion; Admin/RLPT por nombre Inspector por ID;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-1.3;Negocio;CA-03 - Dado el modulo Informes cuando se usan filtros entonces Admin/RLPT buscan por nombre; Inspector por ID; puesto y centro multiseleccion; Limpiar filtros.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-1.4;Tabla resultados ordenable colores compensacion y KPI paginado;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-1.4;Babooni;Tabla ordenable colores compensacion KPI Mostrando X de Y y store paginado con API real;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-1.4;Negocio;CA-04 - Dado un cambio en periodo o filtros cuando se aplica entonces la tabla se actualiza vuelve a pagina 1 y 10 filas por pagina.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-1.4;Negocio;CA-05 - Dado la tabla de Informes cuando se muestran resultados entonces columnas ordenables y compensaciones verde/rojo/gris.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-1.5;Estado vacio sin resultados y boton limpiar filtros;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-1.5;Babooni;Estado vacio: ocultar tabla mensaje informativo y boton limpiar filtros;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-1.5;Negocio;CA-06 - Dado que no hay registros tras filtrar cuando la tabla quedaria vacia entonces se oculta tabla mensaje informativo y boton limpiar filtros.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 2;FE-1.6;Paginacion reutiliza utilidades Fase I;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 2;FE-1.6;Babooni;Paginacion reutilizando paginacion.utils Fase I;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 2;FE-1.6;Negocio;CA-04 - Dado un cambio en periodo o filtros cuando se aplica entonces la paginacion limita a 10 registros por pagina.;Tecnologia - Pendiente;;;
HITO;SPRINT 3;Informes RLPT QA cierre tecnico UAT y PRO;;;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-1.9;Exportacion CSV nombre dinamico reutiliza motor Fase I;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-1.9;Babooni;Exportacion CSV reutilizando motor Fase I con nombre de archivo dinamico tipo + fecha de descarga;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-1.9;Negocio;CA-09 - Dado filtros y formato validos cuando se confirma exportacion entonces se descarga CSV .csv con nombre dinamico.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-1.7;Modal descarga CSV y toast sin datos;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-1.7;Babooni;Modal descarga 3 formatos CSV descarga real y toast si no hay datos;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-1.7;Negocio;CA-07 - Dado el boton Descargar informe cuando se pulsa entonces modal con tres opciones excluyentes.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-1.7;Negocio;CA-08 - Dado 0 registros en pantalla cuando pulsa Exportar entonces no genera CSV y toast de alerta.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-1.7;Negocio;CA-09 - Dado filtros y formato validos cuando confirma exportacion entonces descarga CSV con nombre dinamico.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-1.8;Parametrizacion por rol Admin RLPT Inspector anonimizado;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-1.8;Babooni;Parametrizacion por rol: Admin/RLPT 3 formatos; Inspector formato anonimizado unico;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-1.8;Negocio;CA-07 - Dado Inspector en modal export entonces Informe tabla sin columna nombre.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-2.5;CSV informe anonimizado unico formato Inspector;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-2.5;Babooni;CSV informe anonimizado unico formato bloqueado para Inspector sin columna nombre;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-2.5;Negocio;CA-07 - Dado Inspector en export entonces unico formato anonimizado sin columna nombre en tabla.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-2.6;Export CSV movimientos del ano ficha anonimizado;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-2.6;Babooni;Exportacion CSV movimientos del ano en ficha Inspector anonimizado sin columnas identificativas prohibidas;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-2.6;Negocio;CA-23 - Dado export movimientos compensaciones en ficha Inspector cuando se exporta entonces CSV anonimizado segun funcional §4.3.4.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-2.4;Usuarios y ficha Inspector herencia blur y bloqueo edicion;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-2.4;Babooni;Usuarios y ficha Inspector: reutiliza Fase I difuminado nombre/apellidos busqueda por ID y bloqueo edicion;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-2.4;Negocio;CA-13 - Dado listado usuarios Inspector entonces ID Centro fechas Horas Ojo sin nombre/apellidos.;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-2.4;Negocio;CA-14 - Dado ficha Ojo entonces lectura difuminado y aviso datos sensibles ocultos.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-2.6;Configuracion Inspector 5 pestanas modo lectura;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;FE-2.6;Babooni;Configuracion Inspector: 5 pestañas Fase I en lectura tab Accesos oculta y modoSoloLectura en formularios;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;FE-2.6;Negocio;CA-16 - Dado Configuracion Inspector entonces 5 pestañas Empresa Avisos Parametros Centros Festivos congeladas en lectura.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-4.1;Reutilizar endpoints Perfil Usuario Fase I para RLPT;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-4.1;Babooni;Reutilizar endpoints Perfil Usuario Fase I para RLPT sin cambios funcionales;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-4.1;Negocio;CU-07 - Dado RLPT autenticado cuando accede a Inicio Registro jornada Mi perfil y Ayuda entonces mantiene funcionalidad Usuario Fase I sin regresiones.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;BE-4.2;Acceso modulo Informes datos reales para RLPT;Tecnologia - Pendiente;;;
DESARROLLO;SPRINT 3;BE-4.2;Babooni;Dar acceso RLPT al modulo Informes con datos reales de toda la plantilla;Tecnologia - Pendiente;;;
VALIDACION;SPRINT 3;BE-4.2;Negocio;CA-22 - Dado RLPT autenticado cuando accede a Informes entonces ve datos reales nombre visible de toda la plantilla no anonimizados.;Tecnologia - Pendiente;;;
CABECERA;SPRINT 3;FE-4.1;Reutilizar pantallas Perfil Usuario Fase I para RLPT;Tecnologia - Pendiente;;;
